key,tnea_code,college_name
78,1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai,
Gummidipoondi Taluk, Thiruvallur District 601206"
79,1243,"Madha Institute of Engineering and Technology, Erandamkattalai
Village, Sadhananthapuram, Thandalam Post, Chennai 602101"
80,1301,"Mohamed Sathak A J College of Engineering, Old Mahabalipuram
Road (OMR), Egattur, Kancheepuram District 603103"
81,1303,"Anand Institute of Higher Technology, Old Mahabalipuram Road
(OMR), Kazhipattur, Kancheepuram District 603103"
82,1304,"Easwari Engineering College, Ramapuram, Chennai 600089"
83,1306,"Jeppiar Engineering College, Old Mahabalipuram Road (OMR),
Chennai 600119"
84,1307,"Jerusalem College of Engineering, Narayanapuram, Pallikaranai,
Chennai 600 100"
85,1308,"Measi Academy of Architecture, Royapettah, Chennai 600 014"
86,1309,"Meenakshi Sundararajan Engineering College, Kodambakkam,
Chennai 600024"
87,1310,"Misrimal Navajee Munoth Jain Engineering College, Rajiv Gandhi
Salai (OMR), Thorappakkam, Chennai 600096"
88,1311,"K C G College of Technology, Karappakkam, Chennai 600096"
89,1313,"SMK Fomra Institute of Technology, Fomra Nagar, OMR (IT
Express Highway), Kelampakkam, Chennai 603103"
90,1315,"Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam,
Old Mahabalipuram Road (OMR), Kancheepuram District 603110"
91,1316,"Agni College of Technology, Old Mahabalipuram Road (OMR),
Thalambur Village, Kancheepuram District 603103"
92,1317,"St. Joseph�s College of Engineering, Old Mahabalipuram Road
(OMR), Chennai 600 119"
93,1319,"Thangavelu Engineering College, Karappakkam, Chennai 600097"
94,1320,"Jeppiaar SRR Engineering College, Old Mahabalipuram Road,
Kancheepuram District 603103"
95,1321,"Central Institute of Plastics Engineering and Technology (CIPET),
Guindy, Chennai 600032"
96,1321,
97,1322,"Dhanalakshmi Srinivasan College of Engineering and Technology,
East Coast Road, Poonjeri, Chennai 603104"
98,1323,"A C T College of Engineering and Technology, Nelvoy Village,
Pukkathurai Post, Maduranthagam, Kancheepuram District
603107"
99,1324,"Sri Sai Ram Institute of Technology, West Tambaram, Chennai
600044"
100,1325,"St. Joseph College of Engineering, Trinity Campus, Nemili,
Sriperumpudur Taluk, Kancheepuram District 602105"
101,1333,"Vi Institute of Technology, Sirunkundram Village & Post,
Chengalput Taluk, Kancheepuram District 603108"
102,1334,"ARS College of Engineering, Maraimalai Nagar Post,
Kancheepuram District 603209"
103,1335,"Sri Krishna Institute of Technology, Panapakkam, Padappai,
Chennai 601301"
104,1399,"Chennai Institute of Technology, Puduper Village,
Nandambakkam Post, Kundrathur, Chennai 600069"
105,1400,"Mohamed Sathak A J Academy of Architecture, Old
Mahabalipuram Road (OMR), Kancheepuram District 603103"
106,1401,"Adhiparasakthi Engineering College, Melmaruvathur,
Kancheepuram District 603319"
107,1402,"Annai Terasa College of Engineering, Thirunavalur, Villupuram
District 607204"
108,1405,"Dhanalakshmi College of Engineering, Manimangalam, Chennai
601301"
109,1406,"Dr. Pauls Engineering College, Pauls Nagar, Pulichapallam
Village, Vanur Taluk, Villupuram District 605109"
110,1407,"G K M College of Engineering and Technology, Alappakkam-Mappedu Road, Chennai 600063"
111,1408,"I F E T College of Engineering, Gangarampalayam, Villupuram
District 605108"
112,1409,"Karpagavinayaga College of Engineering and Technology,
Palayanoor Post, Maduranthagam Taluk, Kancheepuram District
603308"
113,1409,"Karpagavinayaga College of Engineering and Technology,
Palayanoor Post, Maduranthagam Taluk, Kancheepuram District"
114,1411,"Madha Engineering College, Kundrathur, Chennai 600069"
115,1412,"Mailam Engineering College, Mailam, Villupuram District 604304"
116,1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal
Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram
District 602105"
117,1414,"Prince Shri Venkateshwara Padmavathy Enginering College,
Ponmar, Chennai 600048"
118,1415,"T S M Jain College of Technology, Melur Village, Kallakurichi,
Villupuram District 606201"
119,1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024"
120,1417,"Shri Andal Alagar College of Engineering, Mamandur,
Kancheepuram District 603111"
121,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044"
122,1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post,
Chennai 600048"
123,1421,"V R S College of Engineering and Technology, Arasur,
Villupuram District 607107"
124,1422,"SRM Valliammai Engineering College, Kattankulathur, Chennai
603203"
